,0
0,0.21298741960453946
1,0.6381540281484407
2,0.20927875271368962
3,0.35223944987871203
4,0.7968416528172105
5,1.837777930226631
6,2.3877681086908757
7,3.2161642677895292
8,3.6711699667450852
9,3.372345986196899
10,2.9396952206944826
11,3.908889262892326
12,5.302466202861407
13,3.5408582329018676
14,2.5659774641317736
15,2.6743991198940007
16,3.0318850502463586
17,2.0464935107127995
18,1.9680588810475286
19,3.0037925734635906
20,3.0663459770734582
21,2.7486979330423806
22,2.411294370128641
23,1.206326524995461
24,1.1107662673267187
25,1.3339655712086116
26,0.8799601305107446
27,0.9549148455640303
28,0.8530623269746664
29,0.7347048306346396
30,0.848716338420764
31,0.8713889493014155
32,0.725624245942533
33,0.5079382396361831
34,0.3585135099171436
35,0.46826358725097156
36,0.5221375481091437
37,0.5897998070641944
38,0.4542252969725829
39,0.36719743438059627
40,0.45032705818171964
41,0.3959329345585304
42,0.5457399432783476
43,0.3718869746834442
44,0.5484877553834986
45,0.3297760964257501
46,0.4053704649566675
47,0.22111413206087444
48,0.25974703432935226
49,7.453366648391108
