,euclidian,cosine,minkowski,mahalanobis,braycurtis,canberra,chebyshev,cityblock,correlation
mean,0.47,0.47,0.46,0.48,0.42,0.44,0.47,0.46,0.47
initial,0.34,0.44,0.35,0.0,0.25,0.22,0.37,0.35,0.44
