dataset,embedding_method,reference_vector,euclidian,cosine,minkowski,mahalanobis,braycurtis,canberra,chebyshev,cityblock,correlation
BCS,FeatherGraph,mean,0.59,0.69,0.58,0.0,0.59,0.58,0.62,0.58,0.56
BCS,FeatherGraph,initial,0.42,0.42,0.47,0.0,0.43,0.46,0.39,0.47,0.41
