euclidian,cosine,minkowski,mahalanobis,braycurtis,canberra,chebyshev,cityblock,correlation
9.09,0.934,80.158,,0.861,87.284,2.547,80.158,0.941
8.598,0.868,80.504,,0.886,93.013,1.972,80.504,0.859
6.53,0.497,60.614,,0.618,81.323,1.48,60.614,0.496
6.49,0.507,57.964,,0.575,75.078,1.631,57.964,0.503
6.722,0.538,61.735,,0.629,79.836,1.644,61.735,0.536
6.875,0.528,61.372,,0.61,77.345,1.844,61.372,0.524
7.201,0.613,65.19,,0.668,80.481,1.468,65.19,0.622
8.528,0.823,78.445,,0.83,89.81,2.124,78.445,0.822
8.392,0.783,74.653,,0.76,84.17,2.499,74.653,0.772
7.096,0.581,65.849,,0.64,80.296,1.957,65.849,0.587
6.671,0.558,59.578,,0.605,76.907,2.048,59.578,0.564
6.609,0.535,58.69,,0.611,74.424,1.844,58.69,0.52
7.537,0.68,68.527,,0.71,81.676,1.678,68.527,0.693
6.384,0.497,58.786,,0.576,74.91,1.677,58.786,0.495
7.787,0.769,71.968,,0.772,87.392,1.809,71.968,0.77
7.91,0.741,72.71,,0.757,88.166,2.035,72.71,0.728
7.194,0.614,65.111,,0.665,80.106,1.676,65.111,0.617
7.535,0.655,69.08,,0.737,85.983,1.914,69.08,0.647
7.143,0.595,63.569,,0.65,79.961,1.741,63.569,0.604
7.378,0.638,66.673,,0.681,81.418,1.768,66.673,0.646
7.502,0.624,70.904,,0.719,86.614,1.54,70.904,0.623
8.158,0.792,72.483,,0.799,88.883,2.82,72.483,0.788
8.936,0.868,82.421,,0.88,90.612,2.052,82.421,0.87
7.246,0.616,67.798,,0.673,84.522,2.344,67.798,0.62
6.941,0.591,62.313,,0.639,75.961,1.535,62.313,0.59
7.353,0.625,67.16,,0.738,84.98,1.728,67.16,0.619
7.185,0.622,66.197,,0.674,81.315,1.909,66.197,0.629
6.972,0.623,61.242,,0.643,78.39,2.345,61.242,0.625
8.259,0.784,74.527,,0.812,87.558,2.404,74.527,0.787
9.01,0.924,82.842,,0.91,90.224,3.021,82.842,0.908
