,euclidian,cosine
0,0.19030161059340078,0.0034864244845183023
1,0.6860806789986664,0.003924212740913258
2,0.17719522575774393,0.002160575934611275
3,0.2900141871413653,0.006549691984204076
4,0.7421098487204472,0.02692850911738609
5,2.0293893718452214,0.11901913187750146
6,2.3460768657256756,0.1808666177020617
7,3.1118129467484272,0.2885454923466978
8,3.42078398009289,0.37608430065003806
9,3.315792097018329,0.337133232381327
10,2.767103252233689,0.19541777136258187
11,4.079446397393553,0.2326125803137743
12,5.319101418766393,0.410541278080912
13,3.5083634479756522,0.25918078365609754
14,2.5804420289041765,0.20106415733457106
15,2.8119005227077256,0.15511441647943058
16,2.9637920065613614,0.18109866870399072
17,2.1261396453309866,0.1340596240899642
18,1.9825436279472786,0.16509971337838736
19,3.1123128354625167,0.2474693560748097
20,2.932249270846369,0.21471715854189344
21,2.8840507633069543,0.31984159666059386
22,2.651699151499992,0.2990953324094082
23,1.3086562970455022,0.09564133867293878
24,1.0949090938839308,0.06379309692185242
25,1.256231757719135,0.08523129146329378
26,0.9392493825625214,0.062385190793820655
27,1.0353384629905003,0.06657802186241168
28,0.7849600952605597,0.039323227448258224
29,0.7204774599447596,0.03394794471636131
30,0.852488814661111,0.04796409335059182
31,0.917407384313078,0.06437433325041453
32,0.7066445839885075,0.03911780913754326
33,0.38409914836060194,0.012145960511574239
34,0.3637715094320037,0.010646056455690833
35,0.4493349961649634,0.014101925975502971
36,0.48574822616725016,0.01857375827445229
37,0.5680022780761891,0.026129021168876942
38,0.5010278886147912,0.013138895296825215
39,0.3580131762269775,0.01115216696298893
40,0.47054709261862737,0.019513485242887096
41,0.41439730984169304,0.017680186846145807
42,0.467210545391692,0.021428213642319394
43,0.4047475220891691,0.012978767161155202
44,0.48555466024761024,0.009761070942129302
45,0.26817387962996003,0.0025452429603767257
46,0.5401056619504273,0.002317263694205818
47,0.15163486977674417,0.0024814135900459444
48,0.2081376735186516,0.0035070566302296546
49,7.372126409151126,0.45453510803737673
