,0
0,0.19297159176803064
1,0.6799908277693408
2,0.19547230770948948
3,0.3031084890586987
4,0.7880934970840193
5,1.8974617047053322
6,2.4710253654604246
7,3.2798381728755666
8,3.3455707819071145
9,3.013675979549638
10,2.8414811710572763
11,4.057253262013148
12,5.628549119730596
13,3.6203958298375714
14,2.4613702130584687
15,2.8393407045856462
16,3.2367783245369193
17,1.970435161736347
18,1.9014979381487316
19,2.908628278181133
20,2.8991186389924306
21,2.693248975127602
22,2.3698050696468926
23,1.1618918183794464
24,1.0876795611776084
25,1.314518529388186
26,0.8880528185594324
27,1.0116637823324937
28,0.8206288394924437
29,0.7474817440754089
30,0.8429068619408623
31,0.8792719322770435
32,0.7194619551470879
33,0.5168371419809706
34,0.39133240207985087
35,0.4337552368794816
36,0.48929644554556073
37,0.5460161020748413
38,0.4823783431054676
39,0.3447178471139607
40,0.4314471481974928
41,0.3897420428893845
42,0.49921386678352103
43,0.42456971215825834
44,0.5496532910995056
45,0.2686825672525625
46,0.5104908738101418
47,0.2094785737892037
48,0.19732777143022912
49,7.370925959762691
