,0
0,0.17680889665733973
1,0.6709307704461752
2,0.19041704021154648
3,0.27177880786692227
4,1.0479135238736972
5,1.7464025080748398
6,2.30076364196988
7,3.0820447265437103
8,3.4990630175104442
9,3.4117262209513894
10,2.8551534195391413
11,3.593262516626921
12,5.260321772286208
13,3.305285973191359
14,2.6580660121163096
15,2.7750310775438605
16,2.849820777283878
17,2.239839280553274
18,1.901012939545454
19,3.030994458800015
20,2.979694794418661
21,2.97085921652509
22,2.6114830010103445
23,1.2685079944090913
24,1.0998498520343043
25,1.2255024369991592
26,0.9263323850496484
27,0.9102704062831636
28,0.7327911452381194
29,0.7381996456905394
30,0.8791529708224664
31,0.8850180921138949
32,0.7224280808125225
33,0.4486283361986243
34,0.33130522543181196
35,0.4047515403466059
36,0.4923139021134366
37,0.5527665678730332
38,0.48395499319470975
39,0.3693528803952575
40,0.4547998533000753
41,0.40050800049893254
42,0.46055066991313925
43,0.34386666674292665
44,0.4171997883252345
45,0.26763720163994525
46,0.5418310940876163
47,0.18365598950179
48,0.24576578833697676
49,7.418190936387948
