,euclidian,cosine
0,0.48521571095157146,0.0017453688658299882
1,1.881401948908975,0.02981070707517064
2,0.6659506678601403,0.003763475241420844
3,0.09809849183501111,7.447415646910649e-05
4,0.47394292870500254,0.0018696820659969138
5,0.1300568661720126,0.00014454787849704775
6,0.488677029021371,0.002034318468908003
7,1.145695977653268,0.010593330204282325
8,2.5959286749676824,0.055965794470105856
9,0.6354783041892491,0.0033767722123786426
10,0.09867541683133008,7.458486487355032e-05
11,0.3827834606207708,0.001235764091082281
12,0.1945761104935078,0.0003192678012228223
13,0.4179636008167637,0.0014812525894105644
14,0.7610302583026831,0.00496535609835802
15,1.6666418540137715,0.0234317840516296
16,0.3971220954162517,0.0013165074003599342
17,0.05373215303723136,1.036007577914777e-05
18,0.10248372368181129,6.368844528836792e-05
19,0.30497385038989205,0.0007635800257420611
20,0.44774965041413894,0.0017221357872877485
21,0.5789827803341373,0.0028366993618281766
22,1.6608578173016457,0.023545975767604532
23,0.11070654045753807,6.590057142319417e-05
24,0.23933049368854836,0.00048039697628943223
25,0.1036400461703731,8.9014903448148e-05
26,0.09157433362481929,6.978046514893865e-05
27,0.7173341763501971,0.004365982910940591
28,0.8735970888621507,0.00624531608665313
