,0
0,0.3181453323334656
1,0.6487790513768242
2,0.3727351342281935
3,0.28987770416977804
4,0.4128552694922119
5,0.14005969509677813
6,0.12841709918576077
7,0.14341649024898406
8,0.2131665138661161
9,0.09869043154673462
10,0.15294680688050138
11,0.2854471803726976
12,0.1498049916834039
13,0.13458531538044677
14,0.23182801581304036
15,0.2931430404087226
16,0.2666997557594723
17,0.12301091929618202
18,0.12317168934200716
19,0.11469629408803446
20,0.09899117325185565
21,0.10089447139866337
22,0.09793455963156839
23,0.14405658003586055
24,0.28796353323632795
25,0.16043469675519656
26,0.2001682730224746
27,0.16370098215328507
28,0.2090798099835488
29,0.09544976699563179
30,0.09340383979309635
31,0.10913007431283245
32,0.500133451882547
33,0.5983749937379977
34,0.45964445242917196
35,0.6667137995316976
36,0.69178768372508
37,0.43683850147761116
38,0.33178193113008325
39,0.12373003882838944
40,0.32163885195970987
41,0.4641160029989451
42,0.14557655461279692
43,0.2839534295106628
44,0.0761389353016632
45,0.263788301045487
46,0.5910141730009152
47,0.06748140206460813
48,0.13756120252378348
